year,semester,Department,Subject,Course,Instructor,A,B,C,D,F,IP,IX,NP,P,W,RD,Total
2015,fall,Art,AHIS,1,MOUSAVI A,28,20,12,,9,,,,1,11,,81
2015,fall,Art,AHIS,1,MOUSAVI A,24,7,19,1,8,,,,1,18,,78
2015,fall,Art,AHIS,1,MACK R T,12,10,7,1,1,,,,,6,,37
2015,fall,Art,AHIS,1,HESSER M,12,6,4,,5,,,,,11,,38
2015,fall,Art,AHIS,1,HESSER M,9,8,4,,3,,,,,16,,40
2015,fall,Art,AHIS,1,MACK R T,18,20,26,13,11,,,,2,14,,104
2015,fall,Art,AHIS,1,CRAIG M H,9,15,5,3,11,,,,1,38,,82
2015,fall,Art,AHIS,2,ROWE S H,18,5,1,2,5,,,,,2,,33
2015,fall,Art,AHIS,2,MEDVEDEV N,28,17,1,,14,,,,1,20,,81
2015,fall,Art,AHIS,2,MAJSTOROVIC M,19,8,,,3,,,,,2,,32
2015,fall,Art,AHIS,2,MAJSTOROVIC M,82,7,3,,12,,,,1,10,,115
2015,fall,Art,AHIS,2,DONAHUE N J,77,19,5,1,18,,,,1,15,,136
2015,fall,Art,AHIS,2,HESSER M,9,5,5,2,6,,,,,12,,39
2015,fall,Art,AHIS,3,DONAHUE N J,77,27,13,,9,,,,1,6,,133
2015,fall,Art,AHIS,3,CHANDLER M M,18,16,11,13,31,,,,,24,,113
2015,fall,Art,AHIS,3,MIHAYLOVICH K W,12,9,7,,2,,,,,7,,37
2015,fall,Art,AHIS,5,ROSENBLUM B T,16,28,15,,14,,,,1,8,,82
2015,fall,Art,AHIS,6,LEAPER L E,3,8,2,1,6,,,,,13,,33
2015,fall,Art,AHIS,6,ROSENBLUM B T,14,9,7,1,1,,,,,6,,38
2015,fall,Art,AHIS,11,JAMES N M,32,16,18,7,13,,,1,,22,,109
2015,fall,Art,AHIS,11,THAYER J,18,7,2,1,1,,,,,5,,34
2015,fall,Art,AHIS,11,THAYER J,21,8,2,,4,,,,,4,,39
2015,fall,Art,AHIS,11,THAYER J,27,2,1,,2,,,,,3,,35
2015,fall,Art,AHIS,17,LEE O,23,15,11,,6,,,,1,15,,71
2015,fall,Art,AHIS,17,O'LEARY T F,12,3,4,2,10,,,,,9,,40
2015,fall,Art,AHIS,18,CRAIG M H,13,5,1,,5,,,,,11,,35
2015,fall,Art,AHIS,72,MIHAYLOVICH K W,11,15,5,2,5,,,,,5,,43
2015,fall,Art,AHIS,72,STUART C A,5,3,,1,7,,1,,1,4,,22
2015,fall,Art,AHIS,72,SCHRADER E,27,5,2,,2,,2,,,2,,40
2015,fall,Art,AHIS,72,STUART C A,4,7,2,1,4,,,,,8,,26
2015,fall,Art,AHIS,72,DASTIN E R,25,19,6,4,5,,,1,,2,,62
2015,fall,Art,AHIS,72,CHANDLER M M,7,10,5,1,9,,,,,8,,40
2015,fall,Art,AHIS,72,FOLLAND T F,4,3,2,1,13,,,,,8,,31
2015,fall,Art,ART,10A,KARLSEN A M,14,7,1,1,3,,,,,1,,27
2015,fall,Art,ART,10A,SCHMELTZ L A,2,3,6,2,3,,,,,14,,30
2015,fall,Art,ART,10A,WHEAT N R,7,1,4,2,5,,,,,4,,23
2015,fall,Art,ART,10A,MITCHELL R,11,6,2,,,,,,,7,,26
2015,fall,Art,ART,10A,SHIBATA J M,13,10,,,,,,,,3,,26
2015,fall,Art,ART,10A,ARGOTE C A,10,4,4,,,,,,1,9,,28
2015,fall,Art,ART,10A,ARUTIAN C L,6,2,6,3,2,,,,,6,,25
2015,fall,Art,ART,10A,SYNICKY C M,7,2,2,1,4,,,,,8,,24
2015,fall,Art,ART,10A,BADGER C P,24,1,1,,4,,,,,2,,32
2015,fall,Art,ART,10A,KARLSEN A M,15,6,3,1,1,,,,,10,,36
2015,fall,Art,ART,10A,MITCHELL R,17,6,2,,2,,,,,6,,33
2015,fall,Art,ART,10A,MIYANO E,12,8,2,1,2,,,,,5,,30
2015,fall,Art,ART,10A,BURCHMAN J H,10,7,,,1,,,,,9,,27
2015,fall,Art,ART,10A,BADGER C P,21,2,3,,5,,,,,1,,32
2015,fall,Art,ART,10A,HARRISON A B,10,2,2,2,4,,,,,8,,28
2015,fall,Art,ART,10B,BADGER C P,8,8,5,2,1,,,,,1,,25
2015,fall,Art,ART,10B,WINSRYG M W,9,7,2,1,,,,,,3,,22
2015,fall,Art,ART,10B,DAVIS R L,27,4,,,,,,,,,,31
2015,fall,Art,ART,10B,MIYANO E,11,6,3,,1,,,,,4,,25
2015,fall,Art,ART,10C,BADGER C P,14,3,,,1,,,,,5,,23
2015,fall,Art,ART,10C,LUNDQUIST T,8,9,,,,,,,,,,17
2015,fall,Art,ART,10C,OBIAMIWE O D,21,2,,,,,,,,1,,24
2015,fall,Art,ART,10C,OBIAMIWE O D,11,1,,,,,,1,,3,,16
2015,fall,Art,ART,13,HARTMAN D G,24,3,,,,,,,,1,,28
2015,fall,Art,ART,13,HARTMAN D G,22,5,,,1,,,,,,,28
2015,fall,Art,ART,13,SILVER E M,13,2,,1,1,,,,,1,,18
2015,fall,Art,ART,17A,JOLLER G,15,2,,2,2,,,,,3,,24
2015,fall,Art,ART,20A,KAGAN SHARON,7,4,3,1,3,,,,,8,,26
2015,fall,Art,ART,20A,MAMMARELLA C J,7,4,4,2,1,,1,,,4,,23
2015,fall,Art,ART,20A,HARRISON A B,8,3,1,3,5,,,,,5,,25
2015,fall,Art,ART,20A,RICHARDSON DOOL L J,13,1,,,6,,,,,5,,25
2015,fall,Art,ART,20A,ZARCONE J,5,,5,1,3,,,,,4,,18
2015,fall,Art,ART,20A,ZARCONE J,3,7,4,2,5,,,,,6,,27
2015,fall,Art,ART,20A,BURCHMAN J H,13,6,1,,,,,,,7,,27
2015,fall,Art,ART,20A,HATTON C,14,7,1,1,1,,,,,8,,32
2015,fall,Art,ART,20A,THOMASON M M,8,5,3,1,,,,,,7,,24
2015,fall,Art,ART,20A,OTA N T,5,9,5,,2,,,2,,4,,27
2015,fall,Art,ART,20A,HATTON C,19,7,1,,2,,,,,2,,31
2015,fall,Art,ART,20A,HATTON C,12,9,1,,2,,,,,6,,30
2015,fall,Art,ART,20A,VICICH G M,17,7,,2,1,,,,,1,,28
2015,fall,Art,ART,20A,VICICH G M,11,4,2,,,,,,,8,,25
2015,fall,Art,ART,20A,OCONNELL J L,2,5,4,,4,,,,,7,,22
2015,fall,Art,ART,20B,KARLSEN A M,6,4,2,1,4,,,,,4,,21
2015,fall,Art,ART,20B,MAMMARELLA C J,8,4,2,1,,,,,,6,,21
2015,fall,Art,ART,20B,KARLSEN A M,6,4,3,,,,,,,4,,17
2015,fall,Art,ART,20B,KOMPANEYETS M,11,7,1,,2,,,,,5,,26
2015,fall,Art,ART,20B,HATTON C,17,4,,,,,,,1,2,,24
2015,fall,Art,ART,20C,WINSRYG M W,9,5,1,,1,,,,1,5,,22
2015,fall,Art,ART,21A,TRUJILLO M E,20,2,2,,1,,,,,2,,27
2015,fall,Art,ART,21A,KOMPANEYETS M,10,7,2,,1,,,,,3,,23
2015,fall,Art,ART,21B,TRUJILLO M E,8,4,,1,1,,,,,3,,17
